Job_Title,Skill,Company,Company_Industry,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees
"Data Analyst 3, Words with Friends",Data Warehouse| R| Statisical Analysis| Python| SQL| Tableau,Zynga,Internet and Software,79,3.8,22,CA,
"Senior Product Manager, Analytics",Analysis Skills| Google Cloud Platform| Azure| AWS,Zynga,Internet and Software,79,3.8,4,CA,
Financial Data Analyst - Apparel and E-commerce,Time Management| Project Management| Business Analysis| Tableau,"Zumba Fitness, LLC",Consumer Goods and Services,10,4,14,FL,
Data Analyst - Aftermarket,Data Mining| ERP Systems| Microsoft Office| APICS Certification| Supply Chain Experience,Zodiac Aerospace,Transport and Freight,1133,3.3,29,TX,
Data Analyst I,Machine Learning| Data Science,ZIN TECHNOLOGIES INC.,Transport and Freight,11,3.8,20,OH,
Data Analyst,Business Intelligence| Project Management| R| SAS| SQL| Python,Zimmerman Advertising,Retail,68,2.9,30,FL,
Data Analyst,Business Intelligence| Project Management| R| SAS| SQL| Python,Zimmerman Advertising,Retail,68,2.9,18,TX,
Data Analyst - Predictive Modeler,MySQL| Data Mining| Machine Learning| R| SAS| Python| Tableau,Zeta Global,Marketing,15,3,3,TN,
Data Analyst - Predictive Modeler,MySQL| Data Mining| Machine Learning| R| SAS| Python| Tableau,Zeta Global,Marketing,15,3,3,CA,
Data Analyst - Predictive Modeler,MySQL| Data Mining| Machine Learning| R| SAS| Python| Tableau,Zeta Global,Marketing,15,3,3,CA,
VP Analytics,Business Intelligence| Microsoft SQL Server| QlikView| Oracle| Tableau| Microsoft Access,Zenith,Internet and Software,358,3.5,30,NY,
Data Analyst,ERP Systems| OBIEE| Hadoop| Oracle| SQL| Tableau| Spark| Python,ZeniMax Media Inc.,Internet and Software,8,4.4,28,MD,
Data Analyst,Time Management| R| SQL| Tableau| AWS,ZeniMax Media Inc.,Internet and Software,,,30,TX,
Operations Business Data Analyst,Microsoft SQL Server,Zelis Healthcare,Health Care,29,2.6,8,GA,
Data Analyst,Microsoft SQL Server| Machine Learning| Hadoop| Power BI| R| Excel| SQL| Python,Zelis Healthcare,Health Care,29,2.6,30,NJ,
SCM Junior Data Analyst,Data Mining| Microsoft Powerpoint| Visio| Microsoft Office| Excel,ZEISS Group,Industrial Manufacturing,251,3.6,12,KY,"10,000+"
SCM Junior Data Analyst,Data Mining| Microsoft Powerpoint| Visio| Microsoft Office| Excel,Zeiss,Industrial Manufacturing,251,3.6,12,KY,"10,000+"
Data Analyst,Data Analysis| Oracle| SAS| SQL,Zachary Piper Solutions,Internet and Software,4,3.8,30,NC,"Less than 10,000"
Customer Quality Data Analyst,,Zachary Piper Solutions,Internet and Software,,,30,PA,"Less than 10,000"
Data Analyst,,Zachary Piper Solutions,Internet and Software,,,21,MD,"Less than 10,000"
Data Analyst,Salesforce CRM| R| Tableau,Youth Policy Institute,Organization,108,4,4,CA,"Less than 10,000"
Data Analyst,Salesforce CRM| R| Tableau,Youth Policy Institute,Organization,,,29,CA,"Less than 10,000"
Data Analyst I,Business Intelligence| Data Mining| Machine Learning| Power BI| R| Oracle| Tableau| Python,"XPO Logistics, Inc.",Transport and Freight,3484,3.3,15,AZ,"10,000+"
Data Analyst - 1st Shift,Business Intelligence| Data Mining| Machine Learning| Power BI| R| Oracle| Tableau| Python,"XPO Logistics, Inc.",Transport and Freight,3484,3.3,14,IN,"10,000+"
Data Analyst,,XLA,Internet and Software,15,3.1,5,USA,
Performance Analytics Analyst,Time Management| Excel,Wyndham Hotels & Resorts,Leisure,63,3.9,20,NJ,
Director of Business Intelligence and Analytics,Pentaho| Project Management| Management Experience| Business Analysis| IT Experience| SQL| Tableau,Wycliffe Bible Translators,Blank,14,4.4,9,FL,
Data Analyst (mid-level),Google Analytics| R| SQL| Excel| Python,WW International (formerly Weight Watchers),Blank,,,26,NY,
Senior Data Analyst,Google Analytics| R| SQL| Excel| Python,WW International (formerly Weight Watchers),Blank,,,26,NY,
Production Data Analyst,SQL,Wunderman,Blank,197,3.9,5,TX,
Senior Data Analyst,Database Marketing| Marketing| Digital Marketing| SAS| SQL| Tableau| Doubleclick,Wunderman,Blank,197,3.9,11,DC,
Senior Data Analyst,Business Intelligence| R| SQL| Data Warehouse| Python| PHP,WP Engine,Internet and Software,14,4.2,27,TX,"Less than 10,000"
Senior Data Analyst,Business Intelligence| R| SQL| Data Warehouse| Python| PHP,WP Engine,Internet and Software,14,4.2,27,TX,"Less than 10,000"
Junior AI/ML Data Analyst,TensorFlow| Machine Learning| Data Management| R| C/C++| JSON| STATA| AI| Data Mining| SAS| Image Processing| Tableau| Java| Data Science| Python| AWS,World Fuel,Energy and Utilities,99,3.4,23,FL,"Less than 10,000"
"Data Analyst, GIS Technician",ArcGIS| Microsoft Word| Data Analysis| GIS| Microsoft Office| Excel| Microsoft Access| Windows,Wood,Agriculture and Extraction,944,4,30,CO,
Data Analyst (India),Experimental Design| R| Statisical Analysis| SQL| STATA| SPSS| SAS| Tableau| Java| Python,Women's World Banking,Blank,4,4,19,NY,
Data Analyst,Experimental Design| R| Statisical Analysis| SQL| STATA| SPSS| SAS| Tableau| Java| Python,Women's World Banking,Blank,4,4,19,NY,
Data Analyst,Statistical Software| Hive| Quantitative Analysis| Data Mining| Machine Learning| Scripting| Hadoop| Perl| R| SAS| SQL| Python| Data Science| PHP,Wish,Internet and Software,17,4,7,CA,"Less than 10,000"
Data Analyst,Statistical Software| Hive| Quantitative Analysis| Data Mining| Machine Learning| Scripting| Hadoop| Perl| R| SAS| SQL| Python| Data Science| PHP,Wish,Internet and Software,17,4,30,CA,"Less than 10,000"
Data Analyst,Statistical Software| Hive| Quantitative Analysis| Data Mining| Machine Learning| Scripting| Hadoop| Perl| R| SAS| SQL| Python| Data Science| PHP,Wish,Internet and Software,17,4,30,CA,"Less than 10,000"
Project Lead Big Data Analytics,Big Data| Hive| Spark| Hadoop| HBase| Tableau,Wipro LTD,Transport and Freight,11485,3.8,30,CA,"10,000+"
Business Data Analyst,SQL| Microsoft Office| Analysis Skills| Data Warehouse| Visio| Business Analysis,Willis Towers Watson,Consulting,779,3.8,30,TN,"10,000+"
Senior Data Analyst - West Elm,Python| Omniture| SQL,"Williams-Sonoma, Inc.",Blank,1689,3.7,30,NY,
"Director, Product Analytics",Machine Learning| SQL,"Williams-Sonoma, Inc.",Blank,1690,3.7,30,CA,
Senior Data Analyst,R| Perl| SAS| SQL| STATA| Data Analysis| Python,"William E. Wecker Associates, Inc.",Blank,,,9,WY,
"VP, Data Analytics & Insights",AI| Machine Learning| Project Management| R| SQL| Teaching Experience| Python,Wiley,Consulting,208,3.9,30,NJ,
ERP Data Analyst,ERP Systems| Microsoft Office,Wildlife Conservation Society,Organization,146,3.9,30,NY,
"Senior/Data Analyst, Marketing Data & Intelligence (North Am...",Google AdWords| Time Management| Marketing| SQL,WeWork,Consulting,81,3.2,7,CA,
Senior Data Analyst - Marketing Insights & Analytics,Google AdWords| Customer Segmentation| Marketing Automation| Marketing| SQL| Doubleclick,WeWork,Consulting,81,3.2,7,NY,
"Director, Data & Analytics",Sentiment Analytics| Python| SQL,WeWork,Consulting,81,3.2,30,NY,
Data Analyst,Machine Learning| Azure| Programmable Logic Controllers| AWS,WestRock,Industrial Manufacturing,1378,3.4,30,GA,"10,000+"
Lead Data Analyst,Leadership Experience| Excel,WestRock,Industrial Manufacturing,1378,3.4,14,GA,"10,000+"
Lead Data Analyst,Leadership Experience| Excel,WestRock,Industrial Manufacturing,1378,3.4,14,GA,"10,000+"
"Data Analyst - Atlanta, GA",Machine Learning| Azure| Programmable Logic Controllers| AWS,WestRock,Industrial Manufacturing,1378,3.4,30,GA,"10,000+"
Senior Data Analyst - Internal Audit,CISSP| Certified Information Systems Auditor| Certified Internal Auditor| Project Management| CPA| Audits,Western Union,Banks and Financial Services,1048,4,30,CO,"10,000+"
Data Analyst,Data Mining| SQL| Microsoft Office| Tableau| Data Analysis,Western National Insurance Group,Insurance,3,2,30,MN,
Analytic Consultant 5 - Business Data Analyst,Hadoop| SAS| Oracle| SQL| Data Warehouse,Wells Fargo,Banks and Financial Services,29963,3.8,7,TX,"10,000+"
Analytic Consultant 5 - Business Data Analyst,Hadoop| SAS| Oracle| SQL| Data Warehouse,Wells Fargo,Banks and Financial Services,29963,3.8,30,TX,"10,000+"
Analytic Consultant 5 - Business Data Analyst,Hadoop| SAS| Oracle| SQL| Data Warehouse,Wells Fargo,Banks and Financial Services,29966,3.8,30,NY,"10,000+"
Analytic Consultant 5 - Business Data Analyst,Hadoop| SAS| Oracle| SQL| Data Warehouse,Wells Fargo,Banks and Financial Services,29963,3.8,30,NJ,"10,000+"
Analytic Consultant 5 - Business Data Analyst,Hadoop| SAS| Oracle| SQL| Data Warehouse,Wells Fargo,Banks and Financial Services,29963,3.8,30,CA,"10,000+"
Analytic Consultant 5 - Business Data Analyst,Hadoop| SAS| Oracle| SQL| Data Warehouse,Wells Fargo,Banks and Financial Services,29966,3.8,30,CA,"10,000+"
Analytic Consultant 5 - Business Data Analyst,Hadoop| SAS| Oracle| SQL| Data Warehouse,Wells Fargo,Banks and Financial Services,29966,3.8,30,CA,"10,000+"
Healthcara Data Analyst,Data Mining| Time Management| SAS| Crystal Reports| SQL| Excel| Microsoft Access| SPSS,"Wellmore, Inc.",Blank,,,11,CT,
Encounters Data Analyst,Data Mining| Microsoft SQL Server| Microsoft Powerpoint| SAS| SQL| Excel| Data Analysis,WellCare,Health Care,1008,3.5,29,FL,"Less than 10,000"
Data Analyst,SQL,Webster Bank,Banks and Financial Services,260,3.4,11,CT,"Less than 10,000"
Data Analyst,Business Intelligence| Microsoft SQL Server| Data Mining| Oracle| Microsoft Access,WebMD,Internet and Software,157,3.6,7,NY,"Less than 10,000"
"Data Analyst, Bomoda",Python| OOP| SQL,Weber Shandwick,Blank,108,4,1,NY,
"SVP/VP, Analytics",Marketing,Weber Shandwick,Blank,108,4,6,NY,
SENIOR DATA ANALYST,Microsoft SQL Server| ERP Systems| Power BI| R| Oracle| Crystal Reports| Tableau| MATLAB| Python,Weatherford,Energy and Utilities,3148,3.9,30,TX,"10,000+"
Product Data Analyst,,Waymo,Blank,5,3.6,30,CA,
