Job_Title,Skill,Company,Company_Industry,No_of_Reviews,No_of_Stars,Date_Since_Posted,Location,Company_Employees
Data Analyst,Tableau,Ace Technologies,Internet and Software,16,4.099999905,1,FL,
Junior Data Analyst,SQL,ThirdLove,Consumer Goods and Services,47,4,12,CA,"Less than 10,000"
Data Analyst,Time Management| SQL,Optimove,Internet and Software,,,2,NY,
Data Analyst,SQL,Commonwealth of Massachusetts,Government,353,3.900000095,7,MA,
Data Analyst,Tableau,Ace Technologies,Internet and Software,16,4.099999905,2,FL,
Production Data Analyst,SQL,Wunderman,Marketing,197,3.900000095,5,TX,
Data Analyst,Tableau,Ace Technologies,Internet and Software,16,4.099999905,4,FL,
Research Data Analyst 2,Microsoft Powerpoint| R| Microsoft Office,UC DAVIS HEALTH SYSTEM,Education and Schools,196,4.099999905,1,CA,
Loyalty Data Analyst,Visual Basic| Marketing| SAS| SQL| Microsoft Office,Safeway Corp.,Retail,190,3.5,5,CA,
XTO Land Data Analyst,Microsoft Office| Microsoft Access,ExxonMobil,Energy and Utilities,2234,4,5,TX,"10,000+"
Junior Data Analyst,SQL,ThirdLove,Consumer Goods and Services,47,4,30,CA,"Less than 10,000"
Marketing Data Analyst,,Kaiser Permanente,Health Care,8164,4.199999809,14,CA,"10,000+"
Data Analyst,SPSS,Columbia University,Education and Schools,830,4.099999905,2,NY,
System Data Analyst,,Bryant & Stratton College,Education and Schools,367,3.900000095,16,NY,
Business Data Analyst,Survey Design| Microsoft Powerpoint,University of Utah,Education and Schools,430,4.199999809,1,UT,"10,000+"
"Data Analyst, Profiles",Project Management| R| SQL| HTML5| Excel| Python,Bloomberg,"Media, News and Publishing",671,3.900000095,1,NJ,"10,000+"
eDiscovery Data Analyst,Machine Learning| Hadoop| Solr| Microsoft Office| HBase,Servient Inc,Internet and Software,,,1,TX,
Data Analyst (c/o 2019 Seniors!),R| Python,HopJump,Marketing,,,30,MA,
Space Data Analyst,,JLL,Real Estate,1887,3.799999952,1,CA,"10,000+"
Data Analyst,Excel| SQL,Colliers International,Real Estate,410,3.900000095,4,GA,"10,000+"
Data Analyst,,Ace Technologies,Internet and Software,16,4.099999905,2,MA,
Data Analyst,Microsoft Powerpoint| Data Analysis| Excel,Freedom Forever,Electricity,26,3.5,21,CA,
Research Data Analyst 3,Machine Learning| R,UC DAVIS HEALTH SYSTEM,Education and Schools,196,4.099999905,1,CA,
Data Analyst,Analysis Skills| Microsoft Powerpoint| Excel| SQL| Microsoft Office| Microsoft Access| Tableau,"Shoes For Crews, Inc.",Consumer Goods and Services,,,30,FL,
Data Analyst,,AVID CENTER STAFF,Education and Schools,,,7,CA,
DATA ANALYST,Microsoft Word| Time Management| Excel| Tableau,Tampa Family Health Centers,Health Care,43,2.900000095,7,FL,
Data Analyst,Microsoft Powerpoint| Excel| Microsoft Office| Tableau,NewYork-Presbyterian Hospital,Health Care,1275,4.199999809,30,NY,"10,000+"
Data Analyst,Power BI| Excel| SQL| Tableau,FIS,Banks and Financial Services,1446,3.5,19,NY,"10,000+"
Data Analyst,Google Analytics| SQL| Tableau,ThirdLove,Consumer Goods and Services,47,4,12,CA,"Less than 10,000"
Healthcara Data Analyst,Data Mining| Time Management| SAS| Crystal Reports| SQL| Excel| Microsoft Access| SPSS,"Wellmore, Inc.",Health Care,,,11,CT,
Data Analyst,,Ace Technologies,Internet and Software,16,4.099999905,5,MA,
EBI Data Analyst,Microsoft Powerpoint| SAS| SQL| Microsoft Office,Arkansas Blue Cross and Blue Shield,Insurance,180,4.099999905,1,AR,"Less than 10,000"
Data Analyst,Salesforce CRM| R| Tableau,Youth Policy Institute,Organization,108,4,4,CA,"Less than 10,000"
Data Analyst,Microsoft Powerpoint| Oracle| Microsoft Office| SQL| Tableau,McGraw-Hill Education,Education and Schools,237,3.900000095,11,NJ,"Less than 10,000"
Data Analyst,,XLA,Internet and Software,15,3.099999905,5,USA,
Data Analyst,R| Python,GlassDoor,"Restaurants, Travel and Leisure",,,20,MA,"10,000+"
Data Analyst,Data Mining,Lubbock Heart & Surgical Hospital,Health Care,12,4.400000095,7,TX,
SCM Junior Data Analyst,Data Mining| Microsoft Powerpoint| Visio| Microsoft Office| Excel,ZEISS Group,Industrial Manufacturing,251,3.599999905,12,KY,"10,000+"
SCM Junior Data Analyst,Data Mining| Microsoft Powerpoint| Visio| Microsoft Office| Excel,Zeiss,Industrial Manufacturing,251,3.599999905,12,KY,"10,000+"
Pharmacy Data Analyst,Excel| SQL| Microsoft Access,"Lockton, Inc.",Insurance,174,4.099999905,1,MO,
Data Analyst,Microsoft Office,Boyd Caton Group (bcg),Internet and Software,,,16,USA,
Data Analyst I,Business Intelligence| Data Mining| Machine Learning| Power BI| R| Oracle| Tableau| Python,"XPO Logistics, Inc.",Transport and Freight,3484,3.299999952,15,AZ,"10,000+"
Data Analyst,Data Mining| Machine Learning,GOCOOL,,,,20,WA,
"MVP, MAOP Data Analyst",Microsoft Word| Microsoft Powerpoint| Microsoft Office,BHP Engineering & Construction,,,,20,TX,
Data Analyst,,Internet Brands,,,,30,CA,
Business Data Analyst - Dodger Stadium,Microsoft Powerpoint| R| SQL| Tableau,Levy,"Restaurants, Travel and Leisure",1511,3.900000095,30,CA,
Data Analyst,Quantitative Analysis| Data Mining| Machine Learning| R| SQL| Tableau| Java| Leadership Experience| Python,Predictive Science,,,,30,USA,
Geo Data Analyst,Microsoft Office,Cubic Corporation,Government,379,3.799999952,5,TX,"Less than 10,000"
Data Analyst,JavaScript| R| Excel| SQL| Tableau,New Visions Central Office,,,,19,NY,
Systems & Data Analyst,Microsoft Powerpoint| Microsoft Office| Tableau| SharePoint| Visio,City of Minneapolis,Government,54,3.900000095,1,MN,
Marketing Sr. Data Analyst,,Kaiser Permanente,Health Care,8164,4.199999809,14,CA,"10,000+"
Data Analyst,Time Management| Microsoft Powerpoint| Marketing| SAS| Tableau,Pearson,Education and Schools,1730,3.799999952,7,USA,"10,000+"
Data Analyst - 1st Shift,Business Intelligence| Data Mining| Machine Learning| Power BI| R| Oracle| Tableau| Python,"XPO Logistics, Inc.",Transport and Freight,3484,3.299999952,14,IN,"10,000+"
Campus Recruiting 2019 - Data Analyst,Data Mining| Business Analysis,Capgemini,Consulting and Business Services,6072,3.799999952,4,USA,"10,000+"
Research Data Analyst,,University of California San Francisco,Education and Schools,282,4.199999809,11,CA,
Data Analyst,,Blade,,20,5,12,CA,
SQL Programmer / Data Analyst,Microsoft Word| Microsoft Powerpoint| PostgreSQL| Oracle| SQL| Tableau,Avkare Inc,,,,22,TN,
Data Analyst,Perl,Ace Technologies,Internet and Software,16,4.099999905,5,NC,
HAIMA - HC Data Analyst,Microsoft Powerpoint| QlikView| Visio| SAS| SQL| Tableau,The Carle Foundation,Health Care,139,4.099999905,8,IL,
Data Analyst,Data Mining| R| SAS| SQL| Tableau| Alteryx| Data Warehouse| Python,Arkatechture,,,,19,ME,
